-----------------------------------------------------------------------------------------------------------------------
- Bench VeraCrypt
- Started at: 2022-11-08  8:49:35
- CPU: AMD FX(tm)-6300 Six-Core Processor
-----------------------------------------------------------------------------------------------------------------------
SIZE       | HASH       | ENCRYPTION ALGORITHM           | VOL CREATE TIME      | VOL FILL TIME        | SPEED (MB/sec)
100 MB     | RIPEMD-160 | Camellia-Kuznyechik            |  0m11.503s           |  0m0.560s            | 75
100 MB     | RIPEMD-160 | Camellia-Serpent               |  0m11.019s           |  0m0.661s            | 75
100 MB     | RIPEMD-160 | Kuznyechik-AES                 |  0m11.250s           |  0m0.701s            | 75
100 MB     | RIPEMD-160 | Kuznyechik-Serpent-Camellia    |  0m13.084s           |  0m0.584s            | 75
100 MB     | RIPEMD-160 | Kuznyechik-Twofish             |  0m10.874s           |  0m0.580s            | 75
100 MB     | RIPEMD-160 | Serpent-AES                    |  0m10.724s           |  0m0.565s            | 75
100 MB     | RIPEMD-160 | Serpent-Twofish-AES            |  0m10.682s           |  0m0.584s            | 75
100 MB     | RIPEMD-160 | Twofish-Serpent                |  0m11.211s           |  0m0.557s            | 75
100 MB     | SHA-512    | AES                            |  0m4.789s            |  0m0.595s            | 75
100 MB     | SHA-512    | Camellia                       |  0m4.935s            |  0m0.569s            | 75
100 MB     | SHA-512    | Kuznyechik                     |  0m5.077s            |  0m4.773s            | 15
100 MB     | SHA-512    | Serpent                        |  0m5.078s            |  0m0.545s            | 75
100 MB     | SHA-512    | Twofish                        |  0m5.092s            |  0m0.603s            | 75
100 MB     | SHA-512    | AES-Twofish                    |  0m5.125s            |  0m0.582s            | 75
100 MB     | SHA-512    | AES-Twofish-Serpent            |  0m5.336s            |  0m0.567s            | 75
100 MB     | SHA-512    | Camellia-Kuznyechik            |  0m5.067s            |  0m0.540s            | 75
100 MB     | SHA-512    | Camellia-Serpent               |  0m5.246s            |  0m0.571s            | 75
100 MB     | SHA-512    | Kuznyechik-AES                 |  0m5.140s            |  0m0.592s            | 75
100 MB     | SHA-512    | Kuznyechik-Serpent-Camellia    |  0m5.377s            |  0m0.574s            | 75
100 MB     | SHA-512    | Kuznyechik-Twofish             |  0m5.720s            |  0m0.621s            | 75
100 MB     | SHA-512    | Serpent-AES                    |  0m4.964s            |  0m0.614s            | 75
100 MB     | SHA-512    | Serpent-Twofish-AES            |  0m4.958s            |  0m0.571s            | 75
100 MB     | SHA-512    | Twofish-Serpent                |  0m4.880s            |  0m0.564s            | 75
100 MB     | Whirlpool  | AES                            |  0m6.991s            |  0m0.572s            | 75
100 MB     | Whirlpool  | Camellia                       |  0m7.763s            |  0m0.556s            | 75
100 MB     | Whirlpool  | Kuznyechik                     |  0m7.476s            |  0m0.542s            | 75
100 MB     | Whirlpool  | Serpent                        |  0m7.532s            |  0m0.562s            | 75
100 MB     | Whirlpool  | Twofish                        |  0m7.360s            |  0m0.575s            | 75
100 MB     | Whirlpool  | AES-Twofish                    |  0m7.505s            |  0m0.585s            | 75
100 MB     | Whirlpool  | AES-Twofish-Serpent            |  0m7.970s            |  0m0.580s            | 75
100 MB     | Whirlpool  | Camellia-Kuznyechik            |  0m7.706s            |  0m0.588s            | 75
100 MB     | Whirlpool  | Camellia-Serpent               |  0m7.775s            |  0m0.590s            | 75
100 MB     | Whirlpool  | Kuznyechik-AES                 |  0m7.666s            |  0m0.618s            | 75
