size,hash+algorithm,total time,speed(mb/s)
1024,RIPEMD-160--AES,122.024,9
1024,RIPEMD-160--Camellia,129.77,9
1024,RIPEMD-160--Kuznyechik,137.404,8
1024,RIPEMD-160--Serpent,123.763,9
1024,RIPEMD-160--Twofish,125.166,9
1024,RIPEMD-160--AES-Twofish,152.921,7
1024,RIPEMD-160--AES-Twofish-Serpent,164.681,7
1024,RIPEMD-160--Camellia-Kuznyechik,161.248,7
1024,RIPEMD-160--Camellia-Serpent,161.092,7
1024,RIPEMD-160--Kuznyechik-AES,154.406,7
1024,RIPEMD-160--Kuznyechik-Serpent-Camellia,138.649,9
1024,RIPEMD-160--Kuznyechik-Twofish,130.89,9
1024,RIPEMD-160--Serpent-AES,136.971,8
1024,RIPEMD-160--Serpent-Twofish-AES,127.324,9
1024,RIPEMD-160--Twofish-Serpent,162.674,7
1024,SHA-512--AES,145.725,8
1024,SHA-512--Camellia,134.436,8
1024,SHA-512--Kuznyechik,122.907,9
1024,SHA-512--Serpent,123.462,9
1024,SHA-512--Twofish,131.204,9
1024,SHA-512--AES-Twofish,126.76,9
1024,SHA-512--AES-Twofish-Serpent,154.206,7
1024,SHA-512--Camellia-Kuznyechik,138.923,8
1024,SHA-512--Camellia-Serpent,144.042,8
1024,SHA-512--Kuznyechik-AES,141.147,8
1024,SHA-512--Kuznyechik-Serpent-Camellia,154.577,7
1024,SHA-512--Kuznyechik-Twofish,147.741,8
1024,SHA-512--Serpent-AES,130.171,9
1024,SHA-512--Serpent-Twofish-AES,145.861,8
1024,SHA-512--Twofish-Serpent,129.142,9
1024,Whirlpool--AES,115.891,10
1024,Whirlpool--Camellia,123.701,9
1024,Whirlpool--Kuznyechik,125.622,9
1024,Whirlpool--Serpent,118.695,10
1024,Whirlpool--Twofish,118.85,10
1024,Whirlpool--AES-Twofish,176.834,6
1024,Whirlpool--AES-Twofish-Serpent,163.875,7
1024,Whirlpool--Camellia-Kuznyechik,150.485,8
1024,Whirlpool--Camellia-Serpent,146.233,8
1024,Whirlpool--Kuznyechik-AES,185.882,6
1024,Whirlpool--Kuznyechik-Serpent-Camellia,164.787,7
1024,Whirlpool--Kuznyechik-Twofish,153.23,8
1024,Whirlpool--Serpent-AES,133.218,9
1024,Whirlpool--Serpent-Twofish-AES,126.049,9
1024,Whirlpool--Twofish-Serpent,123.595,9
1024,Streebog--AES,137.813,9
1024,Streebog--Camellia,159.288,8
1024,Streebog--Kuznyechik,163.446,8
1024,Streebog--Serpent,164.764,7
1024,Streebog--Twofish,158.294,8
1024,Streebog--AES-Twofish,163.51,8
1024,Streebog--AES-Twofish-Serpent,188.537,6
1024,Streebog--Camellia-Kuznyechik,148.948,8
1024,Streebog--Camellia-Serpent,171.156,7
1024,Streebog--Kuznyechik-AES,182.72,7
1024,Streebog--Kuznyechik-Serpent-Camellia,178.817,7
1024,Streebog--Kuznyechik-Twofish,149.935,9
1024,Streebog--Serpent-AES,141.543,9
1024,Streebog--Serpent-Twofish-AES,156.04,8
1024,Streebog--Twofish-Serpent,185.665,7
